Comment,sentiment
This is the best NELK & Hasbulla video!,5 stars
Kyle you are the MAN,5 stars
easily the best video on youtube right now lmao,5 stars
Probably the best video I’ve seen all year!,5 stars
Such a genuine video,5 stars
Now I know what is secret of Hasbulla's popularity. The guy has limitless positive energy and despite language and cultural barrier he somehow manages to entertain people around him and people who watching him. Nelk Boys you are the best! Thanks for the great job putting this together!,5 stars
the nelk boys are the greatest! this is such a great genuine friendship between kyle and hasbullah. Kyle is a real Legend!,5 stars
Hasbulla in the indoor skydiving will end world wars. Such grace ,5 stars
We need part 2 ASAP,5 stars
Idk what it is about this little guy but he fills me up with joy. I was sad to see him leave.,4 stars
Thank you to the Nelk Boys crew for bringing Hasbulla to Adrenaline Mountain! A great memory for our team.,5 stars
He revved the shit out of that fastback. ,5 stars
"Greatest Nelk video of all
Time.",5 stars
6:16 why did lil bro punched us like that lol ,1 star
The most non American thing to do when coming to USA is visit a bass pro store ,1 star
“The Dolphin Speaks Russian” ,3 stars
Aw this was such a wholesome episode! Thank you guys so so much for this! <3,5 stars
Hasbulla saying oh shit is soo funny,1 star
I love hasbullah doesnt even speak english and he knows that steiny is the guy to attack,5 stars
I want me Pet Hasbulla ,5 stars
You aren’t a man if you didn’t shed a tear at the end,1 star
he really loves folding knives ,5 stars
Who would of thought nelk would turn into something so wholesome and still funny,4 stars
Whoever put duel of fates soundtrack during the flamethrower needs a raise,1 star
Him leaving in his helmet  my HEART.,1 star
"Watched 36 min but felt like 3 min, this is a great content!!!!",5 stars
damn this is wholesome,5 stars
you should take em to oakland for car shows,5 stars
Hasbulla’s laugh is everything!  what a joyful and cheerful video!!,5 stars
"This was a dope trip, sober nelk is the one",5 stars
This guy has done nothing if major significance and is a MEGA star haha damn,1 star
kyle got recognized from the girl he pranked,4 stars
Man I love hasbulla I love nelk that Mac feature was dope,5 stars
Hasbulla doing pranks ,4 stars
This made me cry at the end. Much respect to Kyle and the team for flying out hasbullah to the USA. Love y’all ,5 stars
Hasbulla bullying stieny is just a cherry on top,5 stars
Bro Nelk has a great taste in music,5 stars
You should've given him a cat to play with,3 stars
Duel of the fates best part ,5 stars
"“Leave them alone, haram” ",1 star
"Hasbulla not being a puppy person, but chasing stray cats may be my favorite thing about him ",3 stars
Love it!!,5 stars
Keep ur cat safe bro <3,5 stars
Nooo I didn't want this video to enddddd,1 star
my favorite part is even Hasbulla knows to pick on steiny xD,5 stars
Dammit Gabe crying ,1 star
This is superb content for the soul. Seeing Hasbi enjoy himself is so pure and shout out to Nelk for hosting him and showing him an incredible time. The bond between Kyle and Hasbi is clear to see,5 stars
24:10 well this is the cutest thing i've ever seen,5 stars
when steiny calls hasbi Chucky lmaoo,1 star
15:36 bro has one leg up on the wall like a villain waiting for his victim to come out the store…,1 star
loved it so much  i saw this video for second time ️🇧🇩,5 stars
"Dope video,Hasbulla is the MAN",1 star
Kyle's comments about the past pranks made this come full circle. So cool watching this channel through the ups and downs. Blessings to Hasbulla such a fun soul.,5 stars
I could’ve swore that scope was going to hit hasbula for a second,2 stars
You guys are birds. I started watching you from the begining. When's the last time you put Canada on? I live in Windsor. You know exactly where that is because I watched your old-school shit. Walked through UW campas chirping before or after you hit the bridge.,1 star
We need a part 2 fs,5 stars
Best video ever! May Allah bless all you guys,5 stars
Wonder if y'all took him on a  beating tour.,1 star
Kyle is going to be such a good dad,5 stars
We need a Netflix special for Hasbulla.,4 stars
best ep in a minute.,5 stars
Belk thank you for everything you done for hasbulla,5 stars
One of the best YouTube videos I’ve ever watched!!,5 stars
At 10:45 my whole body crinkled up and I almost threw up laughing,1 star
Hasbulla grabbing the camera at 11:41 and just holding the shot on Kyle immediately was so funny  this man is so funny with everything he does,5 stars
Watched the whole 36 minutes. Love hasbulla,5 stars
this video deserves an award,5 stars
Yessir we love the bass pro collab,5 stars
"Wholesome Hasbulla flying, then pulls a knife on steiny ",4 stars
Dude I was fuckin dying at 9:26 the way he threw hasbulla up like that hahaha,1 star
The way you guys just vibe with the little guy and how comfortable he is with y’all is so dope! Just to see him so happy around yall is the best part! Keep going ,5 stars
"If I had your coin, 20 times at Disney would be an understatement",1 star
Never been more happy watching a video but with hasbulla is a different vibe !! I laughed so much watching him enjoy everything,5 stars
if your ever needing a laugh hasbulla is the best,5 stars
this music hits every single time,5 stars
Great video ! Best guys and hasbu,5 stars
"Thank you guys for bringing us along this awesome trip with Hasbulla, you guys are legends!",5 stars
I miss him already 🥹,3 stars
someone should make an “oh shit” counter ,1 star
18:19 what a gentleman,5 stars
Hasbullah went full Chucky mode with the knives,5 stars
Keep the cats away from Hasbulla. ,5 stars
Dear god please let there be a part 2 or just make him a honorary member for life! this combo is amazing and cant be touched.,5 stars
Hasbulla has a cute and menacing laugh ,4 stars
I can’t be the only one who is totally okay with these kind of videos over pranks.,3 stars
Hasbulla isn’t a shooter but…he definitely the wheel man ,4 stars
Hasbulla sees flame thrower. Hasbullah makes as much distance as possible without thinking twice. Lol.,5 stars
Introduce Hasbulla to Tiny Texie,5 stars
"So funny dude! As much as I love to see Hasbulla and the rest of the boys enjoying, dude I love to see Kyle having the time of his life. Buddy earned it big time, huge props to nelk for bringing this hilariousness our way",5 stars
Should’ve done kittens  That would’ve been awesome to watch. He loves cats,5 stars
"Damn, Billy Talent was a throwback",1 star
They did just not lift him up to a gun ,2 stars
I love watching Hasbulla bully Steiny ,5 stars
Cat: I demand a rematch,1 star
"Seeing him fly made my day. Thankful he’s living a life we all would enjoy, even with his situation. I know they do it for views, but he’s benefiting no matter the reason. Hopefully his management is doing right about his money for his future.",5 stars
hasbulla bullying steiny is the funniest shit,5 stars
No way you guys played a billy talent song that’s so sick!!!,1 star
“Hasbula vente ah mexico “🇲🇽 el bula,1 star
10:49 absoloutely relishing the screams,5 stars
Hasbulla the “Kitty Cat Killer”,5 stars
"the last two videos have had so much love in them & the vibe has been absolutely incredible; they’ve been so fun to watch. i had a smile on my face the entire time i was watching this. keep going boys, that was rad",5 stars
Best one yet!!,5 stars
27:08 thats the funniest thing you've ever said,5 stars
"A 20yr old chasing people with a knife, imagine him pulling that out on someone asking for a picture.",4 stars
They should make a Hasbulla + Nelk adventure series,4 stars
Bruh. Hasbulla is so cool ,5 stars
"Not a single prank and still one of the best videos on this channel. Amazing to also get almost a full 40 minutes of wholesome Hasbulla moments. The connection you guys developed with Hasbulla and his crew is really beautiful. You can tell they really appreciated it and loved the whole trip. Overall, great video, guys. Keep telling the stories of your lives, it's so entertaining to watch.",5 stars
Bulla with that dolphin is the best thing on the internet!,5 stars
Why did Hasbulla beat the shit out of steiny half way through WTF ,1 star
Let's go  make me happy again!!,5 stars
Using duel of the fates with the flamethrower was PERFECT,5 stars
nelkboys the best ,5 stars
"So hyped for this, this better be 5 hours long..because..",2 stars
Why does Dana talk to him like he's a literal child,1 star
this might be the best episode yet,4 stars
feels like there treating him as a baby child,4 stars
You guys should updated us about mansur and his new car,3 stars
Get this video to 10 million best video they made so far,5 stars
"This is the most positive video you guys have ever made!! Feels so genuine and real, keep striving and prospering!!! Only big things in the future for you Kyle.",5 stars
Really Enjoyed The Video!!!!,5 stars
Wow c'est vraiment drole ce Hasbulla  j'adore,5 stars
Best video from Nelk bravo ,5 stars
That was a great video.,5 stars
7 million views guys ,5 stars
"This is the best episode in a while. Hasbulla brings a certain type of energy, amazing human.",5 stars
Not gonna lie i've watch this over and over again and still smiling ,5 stars
Best video they ever dropped,5 stars
Great video ,5 stars
When he randomly attacks people and throws full blown whacks in their faces and they are helpless to do anything because his squad of brothers are all over six foot built like houses and would rip you a new one if you actually just held husbulla down,1 star
This video makes me smile,5 stars
"His laugh is so contagious, I love this guy. He is happy and out going can teach us all a valuable lesson nib life!",5 stars
dude this is a real really good video like no joke,5 stars
Bruh that would’ve been a savage video of hasbulla him dumping a 50 cal in slow mo,1 star
Please Please I’ll always gets me ,5 stars
this was great,5 stars
My man hasbulla never puts the phone down lol,1 star
"Hasbulla is just a likeable guy. He's got no problems with anyone, he's enjoying life, and he's very humble and respectful. Even if he does has beef, it's hilarious.",5 stars
Gotta say that is a good range safety guy. Grabbed Stinys shoulder then immediately grabbing the gun and keep the lead pointed down range! 10/10,5 stars
This is the greatest video on the internet ever...,5 stars
Lmao good video guys !,4 stars
Hasbulla is the smartest man. Better safe than sorry,5 stars
Hasbulla’s recent cat video though… not hittin fellas,3 stars
"This was top shelf content! I laughed, I smiled, and I cried! Seeing him so happy made me happy! Thanks guys",5 stars
Gabe stays crying ,4 stars
I'm still convinced Kyle and steiny are the same person,3 stars
Kyle likes hasbulla a lot. Nice video,4 stars
I can’t believe horny gabe actually cried,1 star
Please make more videos with the little dude,3 stars
Hasbulla: “RELAX BRO !!” @11:09 had me in stitches. Really cool to see him enjoy many of the things we sometimes take for granted. I hope we see him back real soon.,5 stars
this video was fire man,1 star
The most I’ve been to Disney in a year was around 80 ,5 stars
Steiny and Gabe will end up together. Calling it now lmao,5 stars
Honestly my boy was put in a wheelchair and met them they didn’t do much for him they did more for this guy then they did for Brad when they met him in Dallas…..when they released the beer,2 stars
2:07 is Habulla visiting USA for his first time? ,1 star
Hasbulla brought out that old nelk feel especially with Kyle  genuinely enjoying the time with hasbulla and knowing the whole time we all will love the content just makes for a banger video/trip. Most definitely need more of this.,5 stars
This up there for favorite YouTube videos of all time for me. Thank you guys for giving Hasbulla a warm American welcome,5 stars
this is amazing,5 stars
Literally getting a tattoo watching nelk,1 star
"Never got the hype on this guy, but his laugh is contagious",2 stars
Need to show Hasbi my tattoo of him ,5 stars
Literally had me smiling seeing hasbulla just enjoying himself man what a legend,5 stars
This was the best hasbi trip,5 stars
Hasbulla is surely living the true American Dream.,5 stars
Bro steiny and hasbulla we’re so funny,5 stars
"Dana: ""Whose better than the NELK Boys?? Nobody!"" Hasbulla ""amen!""",1 star
Hasbulla mistreated a cat for no good reason at all!,1 star
From prank calls to this. Well done guys I hope you guys keep succeeding!!,5 stars
"Well, milk has never aged so quickly ",3 stars
Gabe and steiny ,4 stars
I’m curious what Kyle’s everyday automobile is,4 stars
"Goood team , with beautiful people",5 stars
Gotta love hasbulla,5 stars
Kyles level of trolling is on another level  “didn’t know you were gonna get us so wet” ,2 stars
that was so good,5 stars
You know prize picks sus when it’s not legal in one of the first states to make sports betting legal ,1 star
one of the best vids ive seen in a long time,5 stars
Honestly hasbulla needs to join FULLSEND,1 star
Everyone loves Hasbulla,5 stars
I don’t understand how a video from y’all could be so heartfelt. Y’all are a blessing to the world,5 stars
Dope video ,1 star
The way they are showing my boy love is just awesome...,5 stars
Great video ,5 stars
lmfao chucky doesn't need another chucky knife,5 stars
The mickey hat w his name so cute lmaooo,5 stars
"This is one of the best videos ive ever seen, and ive been watching youtube for 15 years. Gread job Nelk, you absolutely broke the internet with this one!",5 stars
"I am almost certain no puppies were harmed during the filming of this episode,,, ALMOST",3 stars
bless whoever added the billy talent song,1 star
“We’re going to America where they don’t eat doggy’s”-Dave skylark,1 star
I've been waiting for this,5 stars
“Leave them alone”,1 star
"This could've been easily over an hour long, and I would watch every second of it.",2 stars
Hasbulla fucking with Mikey is gold,5 stars
i love how hasbula bullies steiny. fucking hilarious,5 stars
Banger part 2 a must,5 stars
Thank you for this video from Hasbi,5 stars
Why did i cry when he left,1 star
"I literally watched the whole video smiling and laughing, thank you guys !",1 star
11:00 W2S diss playing in bg is a absolute vibe ,5 stars
love the inclusion of mac miller <3 Pittsburgh reppin,5 stars
all my homies love Hasbulla,5 stars
U guys have the best job in the world  u guys need a fifth ,5 stars
Who’s first Jordans that he thought are the freaking miniature versions of mine,5 stars
Almost 37 minutes and it felt like a minute. You guys are the real deal! Hasbu + Nelk = Dream Team,5 stars
"steiny was a w this vid

man is getting better",3 stars
@NELK who ever thought of the tracks to put in this video is legendary!,5 stars
I finna make a meme of hasbula with that giant gun ,3 stars
"The little dude is so happy. God, Allah, whatever bless him.",5 stars
Dude has got a sailors mouth lmao. I need one of him for my bar at home.,1 star
There’s a special bromance between Kyle and Hasbi - love seeing it,4 stars
Bro I was geekin the whole video,1 star
I suffer from anxiety and could never sit in one setting and watch 2 minutes of a video without feeling anxious. But thanks to Hasbulla I can greatly say this video really calmed my anxiety and was able to watch the whole video at ease,5 stars
love it,5 stars
I fuck w bro but he really chickened out on shooting the machine gun and the flame thrower. That would have been legendary ,1 star
His famous lines “Oh shit” “Oh fuck” ,5 stars
Hasbulla is a true gentleman and you can tell he really loves you guys. Super funny man and sad to see him go but all is good,5 stars
Hasbulla shooting is going to be used in so many cod edits its crazy,5 stars
"ай Хасбик красаувчик, завез контента",5 stars
Hasbala is awesome !,5 stars
I hope the merchandising sales at least a portion go to hasbulla ️,1 star
Great content,5 stars
Hasbulla you can tell really has taken a liking to Kyle. You can see him getting close to him on the ride and holding on to him. So humble. Hope you had fun in America Hasbulla as a veteran me and MY friends will welcome you here ANYTIME big man!,5 stars
W trip and what an experience for all of them. Literally smiled throughout the entire video.,5 stars
The OG Mac ,4 stars
I wonder how much they had to edit out due to hasbulla beating the dogs,2 stars
kyle with the fuckin mw2 references this why i love nelk cuz i relate so much to them as a Canadian,5 stars
He is cooolest guy in the world I would love too meet this guy,5 stars
"You repaid the happiness, humility, hospitality and even more than he gave you on your Dagestan visit.. Kyle is such a genuine guy and I pray to God, the best for him.",5 stars
i love this,5 stars
That flamethrower is lit!! ,1 star
“I look dust” 17:03 ,1 star
He's sooo adorable !,5 stars
"The best video on yt right now, Hasbi the goat",5 stars
My god boys this video was everything !! I didn’t want it to end They get better and better every time i watch. Can’t tell you how proud i am of you all ! Such a blessing to see how far you’ve come. Can’t wait for the next one. Love 🫶,5 stars
I love this,5 stars
Pray for The Tate Brothers    ,5 stars
25 years ago Iron Mike woulda ate Hasbulla,5 stars
"Man good thing Hasbulla didn't get Scope bite from his eye being so close to the rifle, probably a 22lr",4 stars
Dolphin speaks Russian ,1 star
He’s brought some joy in these videos man. What an icon,5 stars
Rejekinya mengalir luar biasa si hasbulla ini...,1 star
The best fkn  video the internet has witnessed,5 stars
one of the best videos on the internet,5 stars
"Who else thinks that the Nelk boys, hasbulla, and WhistlinDiesel should collaborate?",1 star
Best Nelk video ever,5 stars
He’s probably the only person in the world who can chase someone around with a knife while everyone just laughs  gotta love the little guy.,4 stars
Watching hasbulla bulllying Steiny is so funny,5 stars
"undefeated, love family",1 star
Hasbulla should be a Call Of Duty Operator,3 stars
I used to not really like Kyle much. He has grown tremendously. Seems like a cool ass guy now. Good for you man.,4 stars
When I was growing up there was a name for grown men who liked to spend time with small boys.,3 stars
Husbulla’s laugh and giggle is infectious  love it,5 stars
I see you playing Daddy Yankee. Much love from Puerto Rico,5 stars
This is the Greatest video mankind has come to know.,5 stars
If u dont give us more hasbulla x nelk ill riot.,1 star
Legendary stuff,5 stars
Hoodies are back!,1 star
"This is by far THE MOST EMOTIONAL video they have done!

These boys will go FAR and make amazing parent figures!",5 stars
"We want you to meet someone special

Hasbulla : Elon musk",5 stars
Hasbulla is the fucking goat I love this and it ain’t even started yet,5 stars
When he said amen I was so happy,5 stars
Amazing video!,5 stars
When he called that kid abdu ,1 star
This was the best NELK video I’ve seen in awhile. I laughed so hard and just had a huge smile on my face the whole time.,5 stars
He's like a spoiled 3 year old that don't listen. And Kyle was right when he said he's scary.,2 stars
Dope video! fire soundtrack!,5 stars
How about hasbulla visiting North Carolina be fun for him?,3 stars
17:50 is a whole ass vibe,5 stars
Had to shed on for the boys man🫶,3 stars
Best fucking video ever. Loved every second of it. Kyle and the team where you guys are at now and what you've done for everyone us fans and people you have in your videos is amazing. All love and support! Thank you for the amazing video bless you all on the nelk team!,5 stars
The Gasolina song is fire ,5 stars
"I could watch Hasbulla for hours he's hilarious,if you dont like the guy you definitely have problem in your head",4 stars
"Hasbulla ""The Cat Butcher""",1 star
Hasbulla fucking up Steiny was the best part of it all. Haha,1 star
9:18 “I got the opps out there” ,5 stars
Kyle and Hasbulla are great duo. This content is way better than the cringey pranks and college parties.,5 stars
"This adult man gets away with anything with his appearance and his fall back ""in my culture this is normal"" type excuses. When they said pick on someone your own size, it didn't mean little cats",1 star
His laugh brings me joy lol,5 stars
"27 years old m, 6’1” 250lbs.... I’d melt in a room full of puppies",1 star
Hasbullah needs to be in a Mad Max sequel with Tom Hardy driving that thing in the wastelands of Namibia.,3 stars
Best video ever!,5 stars
Steiny needs to keep a puppy on a leash every time Hasbulla is around ,3 stars
Очень круто видео мальчики! Россия и Америка- друзья,1 star
This is sick,1 star
Orange County 22 years & going ese .. gracias for living in our county!,5 stars
17:40 was the best!,5 stars
this is the  funniest video ever,5 stars
QUALITY CONTENT!!!!! You guys most definitely have the best job ever lol. It's so cool hasbulla got to experience everything. You guys definetly set him up,5 stars
"I love Hasbi so much ,he's like a ball of energy that never run out  I LOVE YOU HASBULLA I STAND WITH YOU,HATERS GONNA HATE ",5 stars
one of the best videos ive seen in awhile except for steiny i enjoyed the whole video,5 stars
That shirt with him beatin his cat is gonna sell out quick,1 star
Hassy is the fuckin man !,1 star
What's in stores march 31st? Happy dad is already out,1 star
"This was great. It’s dope to see how genuinely happy being around hasbulla makes them, especially Kyle",5 stars
Nelk doing more for world peace than sleepy joe,5 stars
I wonder how much money Nelk spent paying off these businesses to let hasbulla do all of this,1 star
Steiny is just like Turtle from Entourage,4 stars
Beautiful video.,5 stars
Hasbulla got the ‘merica starter pack,5 stars
You have a fan base of all ages Kyle. You and boys are necessary for us to smile like this. I had an ear to ear smile the whole video… thank you boys. I am 38 but f*** this video was fire my man.. cheers,1 star
"14:42 Подальше с Нал-Хатты от Джаббы и Борво с Дурги
С подножным кормом в сумке джедай-затворник в рубке.
В андеграунд Салластиан
К прокрастинаторам Кларкдора",1 star
"ATTENTION!! FULLSEND Tate's Out!!

Andrew and Tristan Tate are out.
It's time to Full Send it to Romania baby!!!  Pack your bags. It's time to go see the Tate Brothers now that they are out of jail and on house arrest!!! You know they're going to be stuck in the house doing podcasts and push-ups.. Be first boys!!! Be first!! Jump on the private jet with the whole crew and be first to get the scoop. Manager Drew he's probably drunk right now so he probably doesn't even know. Shitty Manager Drew!!!, you better get on your job bro and get these boys out to see the Tate Brothers and get all the stories and message you can while you can. The Tate's cannot come to the NelkBoys but y'all can go meet them!!! Y'all might be one of the only crews with big enough balls to get on the private jet and give it a shot. Can you imagine Full Send being the first ones to talk to the Tate Brothers??!!!",1 star
Hasbulla the goat,1 star
Never smiled more watching a video. Hasbulla is a legend and always will be ️,5 stars
Big  My brother his little star ,5 stars
His laugh is contagious ,1 star
only here for Hasbulla,3 stars
LOVE NELK BRO️️,5 stars
This is by far my favorite full send content. Seriously boys I could watch wholesome stuff like this all day! Thanks for the video Nelk!,5 stars
Hasbullah the Hitman ,1 star
his face at 9:50 hahahahahahahahaha,1 star
And it never fails that you all pick the perfect song to match the situation. I almost died at “I’m like a bird” ,5 stars
Can't remember the last time i smiled through out an entire video. This was so wholesom!! Thanks Hasbulla & Nelk boys for another banger!,5 stars
The joy hasbulla brings me is unbelievable,5 stars
Steiny referring to Hasbulla as Chucky was fn hilarious ,5 stars
This version of nelk is actually so entertaining and wholesome,5 stars
Bro these videos are getting longer and still remain awesome! Shoutout the editing team ,5 stars
"This was an amazing video, gents. Love the stuff recently… and huge props to the editors, Gabe, Steiny, Hasbulla and his team, Jay for a bit, and KYLE for making this such a fantastic 36 minutes. Love this style of content, and love to see Kyle thriving the way he is. Truly awesome to see — a true don. KEEP IT UP BOYS!",5 stars
I literally didn’t stop smiling this whole entire video. Hasbulla is great,5 stars
smiling and laughing the whole time what a guy  shoutout yall for showing him around,1 star
"Most wholesome video I think I’ve ever watched,  Hasbulla was genuinely loving every bit of everything!",5 stars
I’m a grandmother & it gave me great joy & happiness to watch you guys with hussbulla,5 stars
I had a smile on my face this entire vid. Lil dude brings so much joy!,5 stars
This entire video just had me smiling the entire time.,1 star
Hasbulla running around with a knife chasing Steiny is gold,1 star
This is the heart warming content the world needed. Nelk is king,5 stars
Hasbulla is already a legend! Dude just makes people happy and his laugh is the best,5 stars
"i matured with nelk, we moved on from the pranks together and i still as always have, love watching the quality of the videos you boys produce. thank you guys! you are all the best ️",5 stars
Man U can tell Kyle is gonna be a good dad,5 stars
Honestly my favorite video you guys have ever done. Loved seeing how happy everyone was the entire time. Hope you're all able to get together again soon.,5 stars
"Was I the only one who fist pumped at the end too with hasbulla going up the escalator?

And thanks hasbulla/kyle/fullsend. Depressed as shit lately and this made me smile for 36 minutes. ",1 star
Big shoutout to the thought and effort that went into planning and doing all of this!!! NELK BOYS ON TOP,5 stars
That was a full circle moment for Kyle. From the pranks to taking hasbulla to where the nelkboys filmed a sea world employee prank  amazing video,5 stars
This video shows the growth as people not just a channel. Such a wholesome video. ,5 stars
"This is one of the most wholesome videos on the internet, I didn’t stop smiling the whole time ",5 stars
"And thanks hasbulla/kyle/fullsend. Depressed as shit lately and this made me smile for 36 minutes. 

Thank you ",5 stars
"Purest content I have seen in years, thank you Nelk boys. My soul is redeemed for the rest of the year!",5 stars
Nelk’s content has sure changed a lot and I really really enjoy it! The videos feel a lot more wholesome and it’s nice seeing them do cool / random stuff besides clubbing.,5 stars
You guys made his first trip to america so memorable you can see it in his face hope to see more nelk/hasbulla ,5 stars
You can genuinely see the love between them ! So awesome to watch can’t wait for the next one,5 stars
"Smiled the whole video, ya'll did an awesome job!!!!!",5 stars
"This is by far the best video ever, I love this little man so much. Almost laughed tears during the meal. Greetings from Germany.",5 stars
One of the best videos I’ve seen. The stuff you guys are doing gets better and better every video!,5 stars
"if there’s anyone to make my day better, it’s NELK boys. thank you guys, keep this elite content coming.",5 stars
Your more wholesome content is really more moving . Brings me more joy and is always equally as funny or more. Your audience is growing up and your doing a good job maturing with them boys . Good shit ever around Philly let a fan slide on y’all ,5 stars
I love the relationship between Kyle and hasbulla he really loves him you can tell both ways brotherly love,5 stars
"Taking it to the next level. Great to see.. big smiles this whole vid. Well done, boys. Hasbulla really loves you all",5 stars
This is legendary. Hasbulla should join Nelk permanently. This is a perfect crew,5 stars
Its not all drinking and partying but some fun times out in the field . Absolute wholesome video !,5 stars
"I think i speak on the behalf of all nelk subscribers when i say we NEED another one of these, This is easily the best video i’ve seen this yr and maybe the best of last too.",5 stars
"This video was on a whole different level, loved every second of it. 
It’s a collab that I don’t think anyone saw coming, but it couldn’t be better 
Hasbulla is taking the Nelk Boys to another level",5 stars
Y'all went all out with this vid and hasbulla looks like he had a great time. Respect,5 stars
"One of my favorite nelk videos, couldn't stop smiling the whole time!",5 stars
"One of the best NELK videos yet, this was awesome. You can clearly see the awesome relationship they have between them!",5 stars
First nelk video where my face hurt from smiling so much. This was so wholesome.,5 stars
Hasbulla’s laugh is LITERALLY EVERYTHING! ️ this video made my night! ️,5 stars
That dude has has a HARD life no question. Very good of you to show him a time he’ll never forget.,5 stars
I absolutely love and love for Kyle and his relationship Kyle looks after him like he’s his best mate and I love that he don’t treat him any diff then anyone else ,5 stars
This is the content everybody needs we need more hasbulla content like every video,5 stars
Unbelievable video. Yall are really inspiring and the way you showed hasbulla around was so heartwarming to watch. No other content entertains me or makes me smile as much as nelk videos like this. Really are the next level. Yall deserve ur flowers. Thanks boys W NELK,5 stars
"I believe hasbulla never dreamed of doing cool stuff like he everything he did with u guys nelk boys before, I'm glad that u guys treat him this good. It made me somewhat believe there's still good people around in this world. Also Dana is a really good guy to give him contract in the first place. Amazing peoples",5 stars
This video was EXACTLY what life is all about HasBully will definitely be visiting a lot more to America 🇺🇸,5 stars
Beyond legendary having Hasbulla out here! The videos just keep getting better guys.,5 stars
What jacket is Kyle wearing? 14:30,1 star
Dope video,1 star
"I love the scenes with Hasbulla, and the dolphin   So wholesome",5 stars
Hasbulla the GOAT,1 star
25:10 ,5 stars
I know y’all are Canadian but thanks for showing hasbulla us Americans are friendly people it means a lot thanks guys 🇺🇸x🇷🇺x🇨🇦,5 stars
"Nobody:

Hasbulla: OH SHIT!!!",1 star
I love how well hasbulla is loved and treated! He is a sweet dude! Nelk boys are unreal! Humans still have a chance!,5 stars
Holy shit! 8.3 mil views!!,1 star
Relax broooo!!!!! ,5 stars
I know this is mainly supposed to be a funny video but damn... this video really hit me in the feels. Especially the part with him in the indoor flying part. Great stuff boys!!,5 stars
Hasbulla is the GOAT ,5 stars
If I ever see hasbulla he's getting punted,1 star
"Ive been watching NELK since they first started and still going strong, I enjoy every single video, and the podcast!!!..",5 stars
"ATTENTION FULL SEND!!!

Full send. Pack your bags. It's time to go see the Tate Brothers now that they are out of jail and on house arrest!!! You know they're going to be stuck in the house doing podcasts and push-ups.. Be first boys!!! Be first!! Jump on the private jet with the whole crew and be first to get the scoop. Manager Drew he's probably drunk right now so he probably doesn't even know. Shitty Manager Drew!!!, you better get on your job bro and get these boys out to see the Tate Brothers and get all the stories and message you can while you can. The Tate's cannot come to the NelkBoys but y'all can go meet them!!! Y'all might be one of the only crews with big enough balls to get on the private jet and give it a shot. Can you imagine Full Send being the first ones to talk to the Tate Brothers??!!!",1 star
Best video ever!!!!!,5 stars
He put a smile on my face. Love this lil brother ,5 stars
14:16 ,3 stars
It's like 2 best friends reuniting after years apart.,4 stars
Hasbulla the legend,5 stars
Hasbula and stiney bro classic,5 stars
Alot of people disregard these crazy clean edits! Shout out the Editors and Producers!!!!!,1 star
How old is he?!,1 star
Lmfao didn’t he show his true colours with that cat of his,3 stars
we need more of hasbulla he brings allot of happiness with him,5 stars
Hell yeah MIKE TYSON,5 stars
Damn he really posted himself abusing a cat the day after this,1 star
"The relationhip Hasbulla and Kyle already have is amazing, like best friends right off the bat!",5 stars
"""here there are african americans""",1 star
AWESOME>>>>he had the time of my life,5 stars
Great to see content like this!!! Everyone’s so happy and way to show Hasbulla a great time in the USA,5 stars
If I had to meet one person hassbulla would be up there,1 star
Hasbulla in the canam is amazing.,5 stars
We need a part two! This was hilarious!,5 stars
Take him deep sea fishing,5 stars
Seeing Hasbulla makes me happy. But seeing the boys with Hasbulla makes me shed a tear. Great video I hope I have the honor of meeting the wise Hasbulla one day.,4 stars
A little guy but big personality,4 stars
"who counted his ""oh sh!t""?",1 star
Love the videos that don’t just consist of drinking and party! These travel and vlog style videos like back in the days are so much better. Just have fun.,5 stars
He has been there many times.,5 stars
I would pay $60 a month subscription for hasbulla content each week please peak content,1 star
Great video boys happy to see hasby have a great time here in america thank you guys for giving him an experience of a lifetime!,5 stars
I saw Hasbulla on the strip ,3 stars
"abdulah whit the knife , literaly chucky flashbacks LUL",1 star
"I Didn’t Even Realized Until The Video Was Over, That I’ve Been Smiling The Whole 36 Minutes & 52 Seconds Of This Episode… I LOVE WHERE THE NELK BOYS ARE HEADING ! Keep It Up Guys",5 stars
Hasballsack was great in the video,5 stars
So cool and nice what you did for them . A trip they will always remember.,5 stars
Wasn’t there a video of hasbula abusing his cat…yeah no thank you,1 star
Watching hasbula being genuinely afraid of the puppies is the funniest shit ever,5 stars
"Quiero una remera de esas talle XL , regáleme una Soludos cordiales desde Argentina .",5 stars
"Best video on the internet ,I am going to rewatch this video over and over .Thanks Nelk and Hasbulla this was heartwarming. I shed gangster tear .South Africa loves you guys",5 stars
Love how hasbulla was excited to see African Americans  he's good in my hood,5 stars
"Such a positive video of sharing different experiences, it had me smiling a lot of the time. Awesome content guys!",5 stars
"Respect to you Kyle although I wish the video was a little bit longer. You still came out with a banger and showed little fella a good time, probs to the nelk boys ",4 stars
What happened between that dolphin trainer and Kyle 3 years ago ?,1 star
"This video is Such a banger!! Everyone loves the Hasbulla content there’s nothing like it nobody else could link up with him & have such pure, genuine, real, connection like the way Kyle & Nelk boys do it. Thank you & good job for killing it. So sad to see him go ",1 star
So Hasbullah also isnt 20 mentally? ,1 star
I subscribe and like this Vidio because Hasbullah say it. I wonder if i don't do it he come in my dream and Hit me ,5 stars
